station,frequency,norm
97.9,0.0,9061.196831597223
97.9,3.90625,60.079549989892335
97.9,7.8125,34.03740381012994
97.9,11.71875,26.03358760151504
97.9,15.625,19.222776865806107
97.9,19.53125,21.229065394185213
97.9,23.4375,22.17689223561036
97.9,27.34375,25.73971153151057
97.9,31.25,18.026239399786586
97.9,35.15625,24.780237421052277
97.9,39.0625,21.267317027614805
97.9,42.96875,27.555464780819662
97.9,46.875,22.15814947310333
97.9,50.78125,23.39305026519962
97.9,54.6875,23.853295544833212
97.9,58.59375,23.675167129549553
97.9,62.5,26.8327132832269
97.9,66.40625,26.433940672431934
97.9,70.3125,29.49463168268092
97.9,74.21875,23.93052529949365
97.9,78.125,31.32662963641412
97.9,82.03125,24.68522700221042
97.9,85.9375,29.712245967207615
97.9,89.84375,24.299182715071247
97.9,93.75,26.986713045916076
97.9,97.65625,26.475278015552785
97.9,101.5625,17.248453658106634
97.9,105.46875,25.01347610697457
97.9,109.375,16.178749420322116
97.9,113.28125,17.816760008834763
97.9,117.1875,17.17093752176514
97.9,121.09375,20.5530524964635
97.9,125.0,19.270619364701083
97.9,128.90625,22.15464688589806
97.9,132.8125,23.045422024995272
97.9,136.71875,20.267666567463486
97.9,140.625,25.573104368942875
97.9,144.53125,17.28543106349339
97.9,148.4375,29.391847495848218
97.9,152.34375,8.126102054043125
97.9,156.25,28.657571383272654
97.9,160.15625,7.812906385132079
97.9,164.0625,20.098939953608703
97.9,167.96875,9.31221230640873
97.9,171.875,19.857693427444147
97.9,175.78125,13.069285849209358
97.9,179.6875,21.639405987983835
97.9,183.59375,20.96134280907303
97.9,187.5,18.933898732325105
97.9,191.40625,25.74979987936889
97.9,195.3125,14.876311334501471
97.9,199.21875,30.468641684330397
97.9,203.125,10.755801701597054
97.9,207.03125,20.122356751472115
97.9,210.9375,19.783833792650917
97.9,214.84375,21.80113688411697
97.9,218.75,25.986255105044098
97.9,222.65625,21.658697107877533
97.9,226.5625,23.967642161168662
97.9,230.46875,23.83592567513252
97.9,234.375,22.98125123419542
97.9,238.28125,22.978348839451964
97.9,242.1875,21.31587677520647
97.9,246.09375,19.094147133970147
97.9,250.0,15.259180771397586
97.9,253.90625,16.807277286424313
97.9,257.8125,22.891895010019528
97.9,261.71875,25.664766739640484
97.9,265.625,23.730426754628137
97.9,269.53125,20.61403763654515
97.9,273.4375,24.747818628347616
97.9,277.34375,14.659281603143894
97.9,281.25,13.497010008883052
97.9,285.15625,18.529121815400337
97.9,289.0625,17.209089474813243
97.9,292.96875,21.974066835368976
97.9,296.875,12.502387373509182
97.9,300.78125,16.25657856576874
97.9,304.6875,14.818801147496814
97.9,308.59375,16.364884814864627
97.9,312.5,14.201504786501475
97.9,316.40625,8.463747022928313
97.9,320.3125,12.925313515839477
97.9,324.21875,7.954557629750388
97.9,328.125,14.477457472966922
97.9,332.03125,21.80508223854783
97.9,335.9375,15.030890299340426
97.9,339.84375,15.442710041740062
97.9,343.75,25.860652409695874
97.9,347.65625,7.601253267960363
97.9,351.5625,17.696658401746323
97.9,355.46875,24.82094905605298
97.9,359.375,20.86166931342836
97.9,363.28125,19.08221841887661
97.9,367.1875,18.66699055211276
97.9,371.09375,16.885917859803126
97.9,375.0,17.259727656253254
97.9,378.90625,17.586815332519638
97.9,382.8125,21.437067183790273
97.9,386.71875,21.648550220404722
97.9,390.625,18.265960727008363
97.9,394.53125,17.642468100651868
97.9,398.4375,23.10878392362554
97.9,402.34375,23.441714231993135
97.9,406.25,26.02513134746555
97.9,410.15625,24.112802495299537
97.9,414.0625,24.39088206785325
97.9,417.96875,25.771489169718993
97.9,421.875,19.510739123839855
97.9,425.78125,18.050954817997003
97.9,429.6875,20.214172777783343
97.9,433.59375,23.875796627924046
97.9,437.5,18.446102267083752
97.9,441.40625,22.61602809122209
97.9,445.3125,23.031159558276475
97.9,449.21875,18.135351540217663
97.9,453.125,19.8527608815405
97.9,457.03125,11.584377059919516
97.9,460.9375,20.87054872004625
97.9,464.84375,22.66111240151382
97.9,468.75,20.495061031881963
97.9,472.65625,17.494764757262097
97.9,476.5625,13.415487687684294
97.9,480.46875,16.827190967749008
97.9,484.375,15.279110531171328
97.9,488.28125,9.564801097539302
97.9,492.1875,23.9611300099278
97.9,496.09375,26.407737332475552
97.9,500.0,15.559775285040374
97.9,503.90625,12.486432037141949
97.9,507.8125,17.882152071887358
97.9,511.71875,17.607979288492885
97.9,515.625,10.735131092121051
97.9,519.53125,9.120486584506827
97.9,523.4375,18.004215392991114
97.9,527.34375,17.16720911874389
97.9,531.25,12.152656462935687
97.9,535.15625,15.579619252232613
97.9,539.0625,18.652910160617054
97.9,542.96875,20.765104932700353
97.9,546.875,17.38234233658794
97.9,550.78125,17.04096245428678
97.9,554.6875,7.866897397008357
97.9,558.59375,15.929487926397897
97.9,562.5,18.065227794269582
97.9,566.40625,13.281582471632268
97.9,570.3125,22.75620535178099
97.9,574.21875,16.329824381803103
97.9,578.125,23.653910278143584
97.9,582.03125,12.643928971890892
97.9,585.9375,11.929522938326501
97.9,589.84375,13.11243986310601
97.9,593.75,14.204244258470457
97.9,597.65625,15.473534020618125
97.9,601.5625,15.494859121609984
97.9,605.46875,7.6016566523350155
97.9,609.375,24.750442697684633
97.9,613.28125,14.163886926718552
97.9,617.1875,6.614441796878913
97.9,621.09375,11.196748582043101
97.9,625.0,16.569171039860098
97.9,628.90625,21.459154581319794
97.9,632.8125,16.46183370131849
97.9,636.71875,11.617804277888155
97.9,640.625,18.07612219971627
97.9,644.53125,11.532073455733363
97.9,648.4375,8.384837846853316
97.9,652.34375,3.7037563323379983
97.9,656.25,21.170032070531818
97.9,660.15625,16.969746117211763
97.9,664.0625,13.318254063271857
97.9,667.96875,7.885046395385012
97.9,671.875,16.089131817703052
97.9,675.78125,19.348286400576722
97.9,679.6875,18.288232974744023
97.9,683.59375,7.681356211930711
97.9,687.5,17.116171139214593
97.9,691.40625,25.441134544482075
97.9,695.3125,20.213559995680782
97.9,699.21875,5.506223830775805
97.9,703.125,12.710290016611813
97.9,707.03125,20.65401139725167
97.9,710.9375,20.052246169251898
97.9,714.84375,6.887228171903301
97.9,718.75,2.907529431603386
97.9,722.65625,16.47987639705148
97.9,726.5625,19.906080495698763
97.9,730.46875,2.644650775720721
97.9,734.375,10.145377345403682
97.9,738.28125,17.72755213752784
97.9,742.1875,17.33345469820943
97.9,746.09375,9.66612676049106
97.9,750.0,9.46042955597429
97.9,753.90625,12.844269117359477
97.9,757.8125,12.74876631367929
97.9,761.71875,14.527492104413618
97.9,765.625,6.552282303111495
97.9,769.53125,2.764620914408618
97.9,773.4375,24.07319702009148
97.9,777.34375,9.284785509821596
97.9,781.25,14.049110384291462
97.9,785.15625,29.766136459133563
97.9,789.0625,9.293712040533135
97.9,792.96875,1.473035162183914
97.9,796.875,4.01462846835933
97.9,800.78125,23.553330163295453
97.9,804.6875,16.214306223588736
97.9,808.59375,16.767166550159295
97.9,812.5,18.591866491865026
97.9,816.40625,21.136948691294503
97.9,820.3125,21.867060332099197
97.9,824.21875,21.28559418199701
97.9,828.125,14.315146415586222
97.9,832.03125,6.664887464006107
97.9,835.9375,18.85830392918122
97.9,839.84375,29.322811654261596
97.9,843.75,15.75240110099594
97.9,847.65625,3.1194981222450235
97.9,851.5625,28.724455075571125
97.9,855.46875,21.36047877716643
97.9,859.375,16.612795483638475
97.9,863.28125,12.721711172465346
97.9,867.1875,24.274701125079712
97.9,871.09375,29.743081802624943
97.9,875.0,18.32634621010259
97.9,878.90625,15.829545049276481
97.9,882.8125,12.411538094391936
97.9,886.71875,30.39661779397633
97.9,890.625,18.393771256636697
97.9,894.53125,7.159802124852125
97.9,898.4375,12.34913006988554
97.9,902.34375,18.04318077757646
97.9,906.25,9.200993847009842
97.9,910.15625,9.031814454746712
97.9,914.0625,21.313194050217962
97.9,917.96875,14.218970563693574
97.9,921.875,12.71471633425709
97.9,925.78125,13.081841539113993
97.9,929.6875,8.396701383452221
97.9,933.59375,16.33616889945087
97.9,937.5,9.425127978962236
97.9,941.40625,21.32311161653732
97.9,945.3125,18.416773940703703
97.9,949.21875,17.702885467030477
97.9,953.125,23.758426371074318
97.9,957.03125,15.300216831572842
97.9,960.9375,15.870878755672308
97.9,964.84375,17.86864068053255
97.9,968.75,22.138213893805247
97.9,972.65625,21.902368183460368
97.9,976.5625,17.7987117272958
97.9,980.46875,12.348346634717892
97.9,984.375,12.593917965284389
97.9,988.28125,16.950771003689564
97.9,992.1875,15.154634697251906
97.9,996.09375,18.417214456491664
97.9,1000.0,18.754109069499254
97.9,1003.90625,12.470792246241645
97.9,1007.8125,8.11899460963815
97.9,1011.71875,13.145424302608408
97.9,1015.625,7.120120168653038
97.9,1019.53125,14.115358602743246
97.9,1023.4375,19.340863076343442
97.9,1027.34375,22.000987770067667
97.9,1031.25,18.62050400752652
97.9,1035.15625,20.749467931932006
97.9,1039.0625,18.50204503866369
97.9,1042.96875,6.229946737186118
97.9,1046.875,19.838781626535553
97.9,1050.78125,20.03153948511469
97.9,1054.6875,12.98089005611259
97.9,1058.59375,16.388853751308154
97.9,1062.5,15.423577684396754
97.9,1066.40625,17.182691102088317
97.9,1070.3125,12.555938151831011
97.9,1074.21875,15.533977800907358
97.9,1078.125,13.930422555068395
97.9,1082.03125,16.123733939760758
97.9,1085.9375,20.064753853897134
97.9,1089.84375,16.41900728516499
97.9,1093.75,12.592440718720335
97.9,1097.65625,14.09709617171049
97.9,1101.5625,16.669105108152046
97.9,1105.46875,15.587410699920035
97.9,1109.375,17.05828240307551
97.9,1113.28125,10.395073943601849
97.9,1117.1875,13.62511905359358
97.9,1121.09375,18.305510329811572
97.9,1125.0,14.125926519725638
97.9,1128.90625,9.831807063298418
97.9,1132.8125,15.441481128129237
97.9,1136.71875,11.92428533077324
97.9,1140.625,19.766359008446404
97.9,1144.53125,19.32440459054643
97.9,1148.4375,14.514597412887026
97.9,1152.34375,14.336190697779044
97.9,1156.25,17.5590079332179
97.9,1160.15625,17.042955408509314
97.9,1164.0625,9.2435732152889
97.9,1167.96875,15.305816323930278
